name,description,phone,email,ops_manager,manager_contact
AANDW,A&W Oil,706-722-5321,bchance@awoil.com,NULL,NULL
ADVCOLOH,Advantage Columbus,800-679-9695,atl13dispatch@thekag.com; heather.riffle@thekag.com; Aaron.smith@thekag.com; atl-cincidisp@thekag.com,Dan Techinpaugh,Cell 614-456-6209
ADVDETMI,Advantage Detroit,800-969-2885,atl20dispatch@thekag.com,Roy Tolbert,Direct 877-844-3455
ADVHTHOH,Advantage Heath,800-420-0607,atl10dispatch@thekag.com,Mel Kidwell,Cell 740-844-0276
ADVLOUKY,Advantage Louisville,800-785-6141,atl51dispatch@thekag.com; heather.riffle@thekag.com; aaron.smith@thekag.com,NULL,NULL
BAYOIL,Bay Oil,281-337-4673,baydispatch1921@gmail.com,NULL,NULL
BLINE,B-Line,352-754-5381,dispatch@b-linecarriers.com,NULL,NULL
COAALBNM,Coastal Albuquerque,505-877-4757; 888-388-8644,Albuquerque.dispatch@coastaltransport.com,Victor Monsivais,Cell 505-249-9855
COAELPTX,Coastal El Paso,915-921-5995,elpaso.diespatch@coastaltransport.com,Miguel Segura,miguel.segura@coastal.transport.com
COAPHXAZ,Coastal Phoenix,800-695-2125,phoenix.dispatch@coastaltransport.com,Mark Loudermilk,mark.loudermilk@coastaltransport.com
COASDCA,Coastal San Diego,800-284-3765,sandiego.dispatch@coastaltransport.com,Kevin Feenaughty,(337) 984-8571
COASTTX,Coastal Austin,800-252-3747,austin.dispatch@coastaltransport.com,Wanda Goldman,wanda.golman@coastaltransport.com
COASTTX,Coastal Brownsville,956-838-1503,brownsville.dispatch@coastaltransport.com,Wanda Goldman,Cell 737-704-5436
COASTTX,Coastal Corpus Christi,800-242-3365; 361-289-1797,Corpus.dispatch@coastaltransport.com,Wanda Goldman,Cell 737-704-5436
COASTTX,Coastal Port Arthur,409-736-3949,portarthur.dispatch@coastaltransport.com,Wanda Goldman,Cell 737-704-5436
COASTTX,Coastal San Antonio,210-661-4131,sanantonio.dispatch@coastaltransport.com,Kevin Feenaughty,kevin.feenaughty@coastaltransport.com
COASTTX,Coastal Waco,254-799-5558,Waco.Dispatch@coastaltransport.com,James Thompson,james.thompson@coastaltransport.com
COATUCAZ,Coastal Tucson,800-759-9141,tucson.dispatch@coastaltransport.com,Larry Sargent,larry.sargent@coastaltransport.com
COMMTX,Comm Direct Texas,210-355-9977,NULL,NULL,NULL
CORFL,Coraluzzo Florida,"800-899-1142 opt 1,4,3",floridadispatch@coraluzzo.com,NULL,NULL
CORGA,Coraluzzo Atlanta,800-899-1142 x064 x050,georgiadispatch@coraluzzo.com,NULL,NULL
CORNC,Coraluzzo Charlotte,"800-899-1142 opt 1,4,1",carolinadispatch@coraluzzo.com,NULL,NULL
COXCAL,Cox CA,888-339-3236,inventory2@coxpetroleum.com; boards@coxpetroleum.com,Cindy Salters,Cell - 661-371-2425
CWCFL,CWC,954-857-5295,tampadispatch@cwctransportation.com,NULL,NULL
DEADRV,Dead River Transport,207-469-6113,transportdispatch@deadriver.com,NULL,NULL
DELEK,Delek,615-430-9312,dispatch@delekus.com,NULL,NULL
DFUEL,Direct Fuel,251-471-3384 x211,mocojeb@aol.com,NULL,NULL
DIATRU,Diamond Trucking,602-278-7399 opt 1,dispatch@diamondtrucking.net,NULL,NULL
DRPTAZ,DRPT,602-305-7202,dispatch@desertrpt.com,Scott Hutchens,Direct 602-305-7202 ext 2
DUPRGC,Dupre Baton Rouge,800-603-0577,dispatchbr@duprelogistics.com,NULL,NULL
DUPRGC,Dupre Birmingham,800-603-0577,dispatchbr@duprelogistics.com,NULL,NULL
DUPRGC,Dupre Duson,800-366-1527,dispatchdu@duprelogistics.com,NULL,NULL
DUPRGC,Dupre Jackson,800-267-9513,dispatchja@duprelogistics.com,NULL,NULL
DUPRGC,Dupre Mobile,800-603-0577,dispatchgc@duprelogistics.com,NULL,NULL
DUPRGC,Dupre Shreveport,800-852-5472,dispatchsh@duprelogistics.com,NULL,NULL
DUPRTX,Dupre San Antonio,866-756-9981,dispatchsa@duprelogistics.com,NULL,NULL
EAGCHAT,Eagle Chattanooga,423-499-6152,dispatch.57@eagletransportcorp.com,NULL,NULL
EAGCHES,Eagle Chesapeake,800-776-9535,dispatch.20@eagletransportcorp.com,NULL,NULL
EAGCHLT,Eagle Charlotte,800-776-9664,dispatch.36@eagletransportcorp.com,NULL,NULL
EAGCHSN,Eagle Charleston,800-776-9557,dispatch.33@eagletransportcorp.com; dispatch.30@eagletransportcorp.com,NULL,NULL
EAGGBRO,Eagle Greensboro,800-776-9747,dispatch.45@eagletransportcorp.com,NULL,NULL
EAGJKVL,Eagle Jacksonville,800-776-9454,dispatch.76@eagletransportcorp.com; jacksonville@eagletransportcorp.com; dispatch.70@eagletransportcorp.com,NULL,NULL
EAGJKVL,Eagle Talleyrand,NULL,dispatch.76@eagletransportcorp.com; dispatch.70@eagletransportcorp.com,NULL,NULL
EAGNAGU,Eagle North Augusta,800-776-9662,dispatch.30@eagletransportcorp.com,NULL,NULL
EAGNASH,Eagle Nashville,800-737-9722,dispatch.52@eagletransportcorp.com,NULL,NULL
EAGPTEV,Eagle Port Everglades,800-776-9778 x1,dispatch.73@eagletransportcorp.com,NULL,NULL
EAGRICH,Eagle Montvale,800-776-9535,dispatch.20@eagletransportcorp.com,NULL,NULL
EAGRICH,Eagle Richmond,804-231-6472,dispatch.20@eagletransportcorp.com; dispatch.25@eagletransportcorp.com,NULL,NULL
EAGRICH,Eagle Starkey,800-776-9535; 800-538-6431,dispatch.20@eagletransportcorp.com; dispatch.23@eagletransportcorp.com,NULL,NULL
EAGROAN,Eagle Roanoke,800-538-6431,dispatch.23@eagletransportcorp.com,NULL,NULL
EAGSAVA,Eagle Belton,800-776-9552,dispatch.36@eagletransportcorp.com; dispatch.39@eagletransportcorp.com,NULL,NULL
EAGSLMA,Eagle Selma,800-776-9737,selma@eagletransportcorp.com,NULL,NULL
EAGSPTG,Eagle Spartanburg,800-776-9552,dispatch.39@eagletransportcorp.com,NULL,NULL
EAGTAFT,Eagle Orlando,888-228-9399 x1,dispatch.72@eagletransportcorp.com; dispatch.76@eagletransportcorp.com; dispatch.70@eagletransportcorp.com,NULL,NULL
EAGTAFT,Eagle Taft,NULL,NULL,NULL,NULL
EAGTMPA,Eagle Tampa,800-776-9757 x1,dispatch.70@eagletransportcorp.com,NULL,NULL
EVANSCA,Evans CA,323-214-0050,dispatch@evansdedicated.com,NULL,NULL
FLRCKCOL,FL Rock Albany,229-883-0881 x1,albanydispatch@patriottrans.com,Greg Runnion,Direct 706-563-5671
FLRCKCOL,FL Rock Augusta,706-793-6111,Augustadispatch@patriottrans.com,Greg Runnion,Direct 706-563-5671
FLRCKCOL,FL Rock Columbus,706-563-5671,columbusdispatch@patriottrans.com,Greg Runnion,Direct 706-563-5671
FLRCKCOL,FL Rock Montgomery,334-834-5453,montgomerydispatch@patriottrans.com,Greg Runnion,Direct 706-563-5671
FLRCKORD,FL Rock Orlando,904-757-5001 x4,tampadispatch@patriottrans.com; OcoeeDispatch@patriottrans.com,NULL,NULL
FLRCKPCB,FL Rock Panama City,850-763-6557,panamacitydispatch@patriottrans.com,NULL,NULL
FLRCKPEN,FL Rock Jacksonville,NULL,NULL,Dusty Blose,850-619-3562
FLRCKPEN,FL Rock Pensacola,850-476-2332 x1,pensacoladispatch@patriottrans.com,Dusty Blose,850-619-3562
FLRCKTMP,FL Rock Tampa,904-356-2456 x1,tampadispatch@patriottrans.com,NULL,NULL
FLYSTAR,Flying Star,806-731-4023,dispatch@goflyingstar.com,NULL,NULL
GILBTX,Gilbert Texas,512-845-8830,qback13@gmail.com,NULL,NULL
GROEN,Groendyke Albuquerque,800-637-0211,albuquerque@groendyke.com,Sharon Burkdol,sburkdol@groendyke.com
GROEN,Groendyke Amarillo,806-335-1686,gti.amarillodispatch@groendyke.com,NULL,NULL
GROEN,Groendyke Kansas,913-621-2200,kansascityrefined@groendyke.com,NULL,NULL
GROEN,Groendyke Phoenix,602-272-2785,phoenixterminal@groendyke.com; gti.phnxdispatch@groendyke.com,Randy Bloom,rbloom@groendyke.com; 480-287-4946
