store_id,carrier_id,commodity,volume,outage_time,delivery_time,reported_via,notes,closing_notes,cause,user_id
,,PNL,444,00:00.0,00:00.0,emailed,Carrier was short drivers,Carrier was short drivers,2: Carrier Issues,
,,UNL,531,30:00.0,00:00.0,phone,Carrier short on drivers,Carrier was short drivers,2: Carrier Issues,
,,UNL,534,00:00.0,00:00.0,phone,NULL,Carrier was short drivers,6: Supply Disruption,
,,PNL,444,00:00.0,00:00.0,phone,NULL,Carrier was short drivers,2: Carrier Issues,
,,UNL,529,00:00.0,00:00.0,phone,"carrier short on drivers, hiring more",Carrier was short drivers,2: Carrier Issues,
,,UNL,526,00:00.0,00:00.0,phone,"carrier short drivers, hiring more",Carrier was short drivers,2: Carrier Issues,
,,UNL,528,00:00.0,30:00.0,phone,"carrier short drivers, hiring more",Carrier was short drivers,6: Supply Disruption,
,,UNL,538,00:00.0,30:00.0,phone,"carrier short on drivers, hiring more",Carrier was short drivers,2: Carrier Issues,
,,PNL,499,00:00.0,00:00.0,phone,"carrier short on drivers, hiring",Carrier was short drivers,2: Carrier Issues,
,,DSL,370,00:00.0,00:00.0,phone,"carrier short on drivers, hiring",Carrier was short drivers,2: Carrier Issues,
,,PNL,441,00:00.0,00:00.0,phone,"carrier short on drivers, hiring",Carrier was short drivers,2: Carrier Issues,
,,UNL,604,20:00.0,30:13.0,Email,Carrier error pending carrier response,Carrier error pending carrier response,2: Carrier Issues,
,,UNL,320,01:30.0,01:00.0,Email,NULL,Carrier issues received no reason for outage from carrier,2: Carrier Issues,
,,PNL,0,05:35.0,05:00.0,Email,NULL,"Unable to locate email from site, could not find any reason for outage provided by carrier",2: Carrier Issues,
,,UNL,1033,17:38.0,16:38.0,Phone,Tyler at Solar advised that they did not have a load planned because they did not think this site was that low. He will rearrange his schedule to get something to this site as soon as possible.,"carrier short on drivers, hiring",2: Carrier Issues,
,,UNL,760,05:41.0,07:00.0,email,Site emailed at 2:54 indicating they are out of Unleaded,Carrier error pending carrier response,2: Carrier Issues,
,,PNL,961,35:00.0,35:00.0,audit,coding as carrier error pending the requested response from carrier with reason for outage...TLD,coding as carrier error pending the requested response from carrier with reason for outage...TLD,2: Carrier Issues,
,,UNL,549,41:00.0,06:00.0,Email Notification,"Outage not initially reported, discovered by Fuel Supply Director",A.T.,2: Carrier Issues,
,,PNL,795,18:00.0,17:00.0,Audit,coding as carrier error pending the requested response from carrier with reason for outage...TLD,coding as carrier error pending the requested response from carrier with reason for outage...TLD,2: Carrier Issues,
,,UNL,598,08:00.0,36:00.0,Email,Unreported outage. Prompted by fuel director,A.T.,2: Carrier Issues,
,,UNL,631,00:00.0,30:00.0,phone,"carrier short on drivers, hiring",carrier was short hours,2: Carrier Issues,
,,UNL,631,00:00.0,00:00.0,phone,"caerrier short on drivers, hiring",carrier was short hours,2: Carrier Issues,
,,UNL,260,05:00.0,10:00.0,Days Supply,Site has small tank and carrier miss judged sales spike.,A.T.,2: Carrier Issues,
,,UNL,1089,00:00.0,00:00.0,phone,NULL,carrier was short drivers,2: Carrier Issues,
,,UNL,1094,00:00.0,30:00.0,phone,NULL,carrier was short drivers,2: Carrier Issues,
,,UNL,806,01:00.0,00:00.0,UNSURE,"Outage was not recorded, Quarry shows runout at 8PM delivery at 10PM",Carrier error pending carrier response,2: Carrier Issues,
,,UNL,424,26:00.0,34:00.0,Supply Team,Eagle had a driver run out of hours.,A.T.,2: Carrier Issues,
,,UNL,397,00:00.0,27:00.0,EMAIL,Notes were emailed that the fill tube was cracked and in need of repair prior to delivery.,Notes were emailed that the fill tube was cracked and in need of repair prior to delivery.,8: Maintenance,
,,ULP,653,06:00.0,00:00.0,emailed,Allocation,Allocation issues all week.,20: Allocation,
,,UNL,245,05:51.0,30:00.0,phoned,carrier error / per auditor notified carrier in the am of 6/22   @ 8:42 am . Carrier at that time gave ETA of 2 hours (site was at UNL 2000),NULL,2: Carrier Issues,
,,UNL,859,05:17.0,14:00.0,phone,no reason provided,NULL,2: Carrier Issues,
,,UNL,251,22:08.0,26:08.0,csr,"csr clld in out of reg 251/276 gallons, clld TTE and talked w/Seamus he said driver tried loading 1 hr ago there was no Shell allocation, i gv him the # for Shell help desk , eta pending driver may have to load after midnight",A.T.,6: Supply Disruption,
,,UNL,328,52:40.0,37:00.0,csr,"site has two reg tanks, west side -328 gallons east side -8384 gallons appears this  sites reg tanks are not manifolding and they are not selling at this time, carrier should have a load to site approx 6am",see notes above,8: Maintenance,
,,UNL,998,43:37.0,30:00.0,CSR,"csr clld in out of reg 998/1428 gallons, eta pending TMW 761857  unknown reason for outage at this time.","Per site run out history site shut down early, still had saleable product",15: Unnecessary Shut Down,
,,UNL,932,09:00.0,34:17.0,Site Called in,The Carrier was running behind,A.T.,2: Carrier Issues,
,,UNL,518,41:16.0,40:00.0,csr,"csr clld in out of reg/518 gallons, clld WP and talked w/Elaina eta approx 1.5 hrs, unknown reason for outage at this time.",NULL,2: Carrier Issues,
,,UNL,796,12:30.0,59:00.0,csr,"csr clld in out of reg/796 gallons, called Klemm and talked w/Barb eta anytime.  unknown reason for outage.",no reason for outage provided by carrier,2: Carrier Issues,
,,UNL,630,09:50.0,35:00.0,csr,"csr clld in out of reg/630 gallons, unknown reason for outage at this time, called Solar and talked w/Brian eta approx 1.5-2 hrs",increased sales in TMW - increase was 3500 to 4481,3: Unpredictable Sales,
,,UNL,600,44:56.0,40:00.0,csr,"csr clld in out of reg/600 gallons, clld Solar and talked w/Collin eta approx 6am this is the drivers first load he w/see if load can be moved up or a compartment dropped",Solar was short on drivers at the time,2: Carrier Issues,
,,UNL,301,25:37.0,25:00.0,csr,"csr clld in out of reg, eta pending no dispatcher in the office at this time, unknown reason  for outage, TMW load 773662 showing DSP code.",no reason for outage provided by carrier,2: Carrier Issues,
,,UNL,1,36:54.0,36:00.0,site,no atg so they weren't sure of the volume - load is in route per TMW,"CC did not obtain outage volume, no reason provided.",10: Technology,
,,UNL,360,05:00.0,05:00.0,Audit,coding as carrier error pending the requested response from carrier with reason for outage...TLD,coding as carrier error pending the requested response from carrier with reason for outage...TLD,2: Carrier Issues,
,,UNL,695,13:11.0,07:00.0,Phone,increase sales. out last three weekends according to store  unl was 600,A.T.,3: Unpredictable Sales,
,,UNL,427,54:45.0,25:00.0,site,out at 427/87  in route about 2 hours  - truck issues,NULL,2: Carrier Issues,
,,UNL,800,06:15.0,22:00.0,site,in route,Carrier error pending carrier response,2: Carrier Issues,
,,UNL,603,54:00.0,54:00.0,phone,site 605 on unl. no reason provided,Carrier error pending carrier response,2: Carrier Issues,
,,UNL,631,02:58.0,30:00.0,phone,"per carrier ETA 4 to 5 hours. did inform that site was at 631 and has ran out..carrier short on drivers, hiring",NULL,2: Carrier Issues,
,,UNL,662,04:00.0,08:00.0,Email,Sent in Via Ronald Plummer,NULL,2: Carrier Issues,
,,UNL,394,12:00.0,14:00.0,Emails,Tank 1 and Tank 2 are not manifolding properly.,The maintenance issue has been fixed.,2: Carrier Issues,
,,UNL,657,18:00.0,17:00.0,Email,Out of allocation at Kinder Morgan.,The Kinder Morgan rack has been shut down for over three hours.  Something to do with their computers.  The driver is there now waiting for BOLs.,18: Terminal Issue,
,,UNL,498,24:32.0,44:00.0,phone,hoc,Carrier error pending carrier response,2: Carrier Issues,
,,UNL,947,59:15.0,24:00.0,site called in,carrier didn't see this load on their board and had it planned for tomorrow am,Carrier error/ carrier didn't see this load on their board and had it planned for tomorrow am,2: Carrier Issues,
,,PNL,425,01:26.0,00:00.0,site called in,"out of allocation, waiting till midnight to reset",NULL,6: Supply Disruption,
,,UNL,498,15:46.0,06:00.0,site called in,carrier running behind,Carrier error pending carrier response,2: Carrier Issues,
,,PNL,581,53:00.0,44:00.0,site called in,carrier seems to be running behind due to the influx of Washington calls,carrier seems to be running behind due to the influx of Washington calls,2: Carrier Issues,
,,PNL,400,00:00.0,25:00.0,site called in,It would seem that solar missed a forecasted load,NULL,2: Carrier Issues,
,,UNL,650,00:00.0,09:27.0,Email from supply team,NULL,NULL,2: Carrier Issues,
,,UNL,502,39:00.0,08:00.0,Email.,Chris Olsen said that there was no product in Macon and they had to get a load from Doraville.,A.T.,6: Supply Disruption,
,,UNL,287,51:26.0,51:26.0,Phone,ATG has not polled UNL since 6/13,A.T.,1: Bad Sticks,
,,UNL,559,30:00.0,17:00.0,phone,ETA was planned for tonight - moved up to ASAP,site was down for maintenance and the site in TMW was never put back on forecasting after the maintenance was complete,10: Technology,
,,DSL,589,56:18.0,01:00.0,phone,No DSL allocation - had to go to Holly to load. ETA - 3 hours,No DSL allocation,6: Supply Disruption,
,,UNL,301,16:00.0,15:00.0,phone,No reason given for outage - ETA - 1 hour,Carrier error pending carrier response,2: Carrier Issues,
,,UNL,497,56:00.0,55:00.0,Email,The Carrier is the one that noticed it and reported at 1p. Charlene was contacted as tank 2 isn’t working at all. They still have 3800 in the ground but can’t pump any out of it. I didn’t have anything from the store ?  per Janie.,"maintenance issue with T2, Tank 1 stopped at 497 per ATG.",8: Maintenance,
,,UNL,689,09:00.0,09:00.0,Email,The outage occurred as soon as the store opened.,"As of 8:32 MST on 6/26/2017, A Driver is at the site unloading and there is gas going into the site. Another load is going into this site this afternoon/evening.",2: Carrier Issues,
,,UNL,168,42:00.0,52:00.0,Day Supply Report,"Carrier was running behind, the site was running low and their was a road closure that caused the carrier to be 10 minutes late.",NULL,2: Carrier Issues,
,,UNL,800,10:09.0,51:00.0,phone,site not polling,"Site not polling in ATG, carrier/ dispatch unable to get reliable readings.",10: Technology,
,,UNL,600,02:28.0,00:00.0,phone,"Solar has no drivers,hiring",NULL,8: Maintenance,
,,UNL,1,10:05.0,10:00.0,Phone,ETA given is midnight  running behind,"Per note carrier was running behind, CC did not obtain a run out volume",2: Carrier Issues,
,,UNL,616,00:00.0,14:18.0,6/26/2017 17:00,ETA given was 5pm,NULL,2: Carrier Issues,
,,UNL,378,18:44.0,15:44.0,6/26/2017 20:00,in route per TMW,Carrier error pending carrier response,2: Carrier Issues,
,,DSL,562,17:14.0,00:00.0,6/26/2017 18:15,ETA given was 11pm - it appears they are out of regular at 616 now at 9:25pm  - they were at 1179 at the time diesel was out- this will be carrier error - no one else could help with this long haul,This is a high volume site with a  working ATG carrier should have had this on their watch list,2: Carrier Issues,
,,UNL,800,30:00.0,26:51.0,dealer,this is a dealer  out of regular at 350 gallons- ETA pending- they are behind schedule,"Site not polling, Carrier error pending carrier response",2: Carrier Issues,
,,UNL,273,31:00.0,49:00.0,site,out at 6 inches  carrier said they would put on next driver - ETA an hour or so,carrier ran to close to bottom of tank,2: Carrier Issues,
,,DSL,419,30:00.0,26:39.0,Phone,"The store associate said that the shell-motiva sites for loading were 2 hours from site 6289, and the loading process takes 4-5 hours minimum.",The shortage of drivers caused this issue and this site will be closely monitored for fuel dispatch teams moving forward.,2: Carrier Issues,
,,UNL,870,15:00.0,50:00.0,call,higher than normal sales,They are priced at $ 1.99 (lower than their competitors) They receive 2 loads a day.,3: Unpredictable Sales,
,,PNL,498,00:00.0,25:00.0,called in,sales up on PNL,per dealer sales on PNL were up,3: Unpredictable Sales,
,,UNL,319,00:00.0,00:00.0,site,out at 319  ETA 45 minutes,carrier was sent over low level at 8:30 am and then again 11:30 am site has atg as well,2: Carrier Issues,
,,UNL,798,24:30.0,00:00.0,phone,store just ran out and current eta is 7pm,store just ran out and current eta is 7pm,2: Carrier Issues,
,,UNL,415,07:00.0,09:00.0,Site,Issues at the rack causing delays.,AT,18: Terminal Issue,
