store_id,carrier_id,commodity,volume,outage_time,delivery_time,reported_via,notes,closing_notes,cause,user_id
16477,56,UNL,340,9/5/17 23:14,9/8/17 12:52,site,NULL,Hurricane,21: Extraordinary Event,28
16477,56,UNL,100,9/6/17 0:10,9/6/17 0:10,site called,"Out of UNL, not pumping. ETA request sent to carrier via email.",hurricane,21: Extraordinary Event,28
16477,56,UNL,101,9/6/17 21:52,9/6/17 21:52,csr,"csr clld in out of reg/339 gallons, 9.6.2017 am shift out due to hurricane Irma panic buying sales increase",NULL,21: Extraordinary Event,11
16478,56,UNL,101,9/7/17 2:54,9/7/17 2:54,csr,"csr clld in out of reg/533 gallons, pnl/552 gallons, dsl/1747 gallons  out due to hurricane Irma sales increase no eta at this time",NULL,21: Extraordinary Event,11
16478,56,UNL,101,9/13/17 22:13,9/13/17 22:13,DEALER,"site out of reg/542 gallons, dsl/1243 gallons and pnl at 1939 gallons  out due to hurricane Irma, no eta",NULL,21: Extraordinary Event,11
16478,56,UNL,531,11/17/17 19:00,11/18/17 0:20,site,546/87  eta they had left a message earlier today  eta is 2am,Stuck in traffic,2: Carrier Issues,28
16480,56,UNL,101,9/6/17 22:17,9/6/17 22:17,csr,"csr clld in out of reg/448 gallons, 9.6.2017 am shift out due to hurricane Irma panic buying sales increase",NULL,21: Extraordinary Event,11
16489,56,UNL,101,9/6/17 22:11,9/6/17 22:11,csr,"csr clld in out of reg/230 gallons pnl/224 gallons, 9.6.2017 am shift out due to hurricane Irma panic buying sales increase",NULL,21: Extraordinary Event,11
16496,56,UNL,400,9/8/17 14:31,9/8/17 15:40,site called,"Site is out, no longer pumping. Sent an eta request to carrier.",hurricane,21: Extraordinary Event,28
16497,56,UNL,100,9/7/17 10:00,9/7/17 11:00,phone,unl/365.. no eta given   prem/377,hurricane,21: Extraordinary Event,28
16497,56,UNL,101,9/6/17 20:54,9/6/17 20:54,csr,"csr clld in out of reg/359 gallons, no eta out due to hurricane Irma panic buying sales increase",NULL,21: Extraordinary Event,11
16502,214,UNL,750,10/27/17 11:24,10/27/17 17:00,Phone,Carrier confirmed order but had to push due to capacity issues per their confirmation response. Have not worked into schedule yet.  CREDIT HOLD RELEASE,NULL,7: Credit Hold,23
16510,133,UNL,562,12/4/17 21:36,12/5/17 5:36,Site Called,Fires in California,NULL,21: Extraordinary Event,18
16511,11,UNL,653,7/31/17 0:41,7/31/17 10:37,research outage,NULL,Mission Valley Terminal down for all products,16: Major Supply Disruption,25
16512,133,UNL,459,7/20/17 9:00,7/20/17 9:30,research,found by Joe Bair and Kenneth Huepper,NULL,2: Carrier Issues,25
16512,133,UNL,457,8/13/17 14:54,8/14/17 9:00,phone,per carrier - no TNT,TNT truck went down for Solar.,2: Carrier Issues,25
16512,160,UNL,458,9/3/17 16:14,9/3/17 16:34,phone,unl is 458 carrier is showing different run out windows that are different,The original runout window was different when the load was planned.  Carrier failed to monitor,2: Carrier Issues,25
