name,description,address,city,state,zip,tcn
CHTTMAG2,Magellan Terminals Holdings LP,4326 Jersey Pike,Chattanooga,TN,37401,T-62-TN-2208
CHTTNKM,Kinder Morgan Southeast Terminals LLC,4716 Bonny Oaks Drive,Chattanooga,TN,37401,T-62-TN-2201
CHTTNMA1,Magellan Terminals Holdings LP,4326 Jersey Pike,Chattanooga,TN,37401,T-62-TN-2208
CHTTNMA2,Magellan Terminals Holdings LP,4235 Jersey Pike,Chattanooga,TN,37401,T-62-TN-2200
CINOHKM,Kinder Morgan Liquids Terminals LLC,930 Tennessee Avenue,Cincinnati,OH,45201,T-31-OH-3104
CINOHMPL,MPLX Cincinnati,4015 River Road,Cincinnati,OH,45201,T-31-OH-3100
CITVIC,CITGO - Vicksburg,1585 Haining Rd,Vicksburg,MS,39180,T-64-MS-2419
CLEOHBPP,BP Products North America Inc,5241 Secondary Road,Cleveland,OH,44101,T-34-OH-3175
COBNLIMP,IMPERIAL CORNERBROOK,730 West Connors Road,CORNER BROOK,NL,NULL,NULL
COBNLULT,ULTRAMAR CORNER BROOK,13 leggos ave,CORNER BROOK,NL,NULL,NULL
COLCAKM,"SFPP, LP",2359 S. Riverside Avenue,Bloomington,CA,92316,T-33-CA-4757
COLGAKM,Kinder Morgan Southeast Terminals LLC,5131 Miller Road,COLUMBUS,GA,NULL,T-58-GA-2520
COLGAMAR,MPLX Columbus,5030 Miller Road,COLUMBUS,GA,NULL,T-58-GA-2523
COLGAOMG,"Omega Partners III, LLC",5225 Miller Road,COLUMBUS,GA,NULL,T-58-GA-2522
COLMSKM,Kinder Morgan Southeast Terminals LLC,31 Kola Road,Collins,MS,39428,T-64-MS-2402
COLMSMOT,Motiva Enterprises LLC,49 So. & Kola Rd.,Collins,MS,39428,T-64-MS-2404
COLOHBUC,"Buckeye Terminals, LLC - Columbus",303 North Wilson Road,Columbus,OH,43085,T-31-OH-3105
COLOHMEL,MPLX Columbus (East),3855 Fisher Road,Columbus,OH,43085,T-31-OH-3101
ALBGAMAG,Magellan Terminals Holdings LP,1722 W Oakridge Dr,Albany,GA,31701,T-58-GA-2501
ALBNMP66,Phillips 66 PL - Albuquerque,6356 Desert Road SE,Albuquerque,NM,87101,T-85-NM-4254
ALBNMVEC,South Florida Materials Corp dba Vecenergy,3200 Broadway SE,Albuquerque,NM,87101,T-85-NM-4251
ALBNMWES,Western Refining - Albuquerque,3209 Broadway Southeast,Albuquerque,NM,87101,T-85-NM-4255
AMLTXSHM,"Nustar Logistics LP - Amarillo, TX",4200 West Cliffside,Amarillo,TX,79101,T-75-TX-2653
