site_id,region_id,carrier_id,shipper_id,phone,address,city,state,brand,supplier,loading_numbers,mm_dbm,manager_phone,notes,miles,co_de,active,email
2210398,17,39,78,803-775-3355,503 Broad St,Sumter,SC,Marathon,#N/A,0,Mike Kimbrell,NULL,Dealer Email - rajyogi@me.com,117.4,D,Y,NULL
2211003,3,56,16,941-355-5525,6000 N Tamiami Tr,Sarasota,FL,Shell,SHELLBR,Sold to:12317896 Ship to:10008762,Kathy Staats,NULL,airportshell@verizon.net,57.9,D,Y,airportshell@verizon.net
2211004,3,56,16,239-693-6633,4126 Palm Beach Blvd,Ft Myers,FL,Shell,SHELLBR,Sold to:12317896 Ship to:10008617,Kathy Staats,NULL,friendlymarketinc@yahoo.com,134.6,D,Y,friendlymarketinc@yahoo.com
2211006,3,56,16,941-795-0823,6600 Cortez Rd W,Bradenton,FL,Shell,SHELLBR,Sold to:12317896 Ship to:10008572,Kathy Staats,NULL,begleyinc@verizon.net; mcproductions14@aol.com,59.7,D,Y,begleyinc@verizon.net
2702867,5,32,198,337-462-5815,1209 E 1St St,Deridder,LA,CIRCLE K,CITGOUNB,452019,Kathy Staats,NULL,NULL,53.7,D,Y,str02867@circlek.com
2211007,3,56,16,941-966-3354,1166 S Tamiami Tr,Osprey,FL,Shell,SHELLBR,Sold to:12317896 Ship to:10008735,Kathy Staats,NULL,botond1@aol.com,79,D,Y,botond1@aol.com
2211009,3,56,16,941-423-2020,14290 Tamiami Tr,North Port,FL,Shell,SHELLBR,Sold to:12317896 Ship to:10008732,Kathy Staats,NULL,kazaldattak@aol.com,97.7,D,Y,kazaldattak@aol.com
2211011,3,56,16,941-351-5963,4405 N Washington Blvd,Sarasota,FL,Shell,SHELLBR,Sold to:12317896 Ship to:10008766,Kathy Staats,NULL,bassoule@yahoo.com,60.5,D,Y,bassoule@yahoo.com
2211012,3,56,16,941-952-9270,3440 S Osprey Ave,Sarasota,FL,Shell,UNKNOWN,Sold to:12317896 Ship to:10008763,Kathy Staats,NULL,begleyinc@verizon.net,66.1,D,Y,begleyinc@verizon.net
2211015,3,56,16,941-758-3178,836 301 Blvd E,Bradenton,FL,Shell,UNKNOWN,0,Kathy Staats,NULL,TEMPORARY CLOSURE - will reopen as a CO-OP at at future date per J. Eggen 1-16-17..cj,53.5,D,N,TEMPORARY CLOSURE
2211018,3,56,16,941-756-8077,5704 14Th St W,Bradenton,FL,Shell,UNKNOWN,Sold to:12317896 Ship to:10008569,Kathy Staats,NULL,mlk1212@aol.com,NULL,D,N,mlk1212@aol.com
2211021,3,56,16,941-474-9565,241 S Indiana Ave,Englewood,FL,Shell,UNKNOWN,Sold to:12317896 Ship to:10008597,Kathy Staats,NULL,engshell@yahoo.com,92.2,D,Y,engshell@yahoo.com
2211022,3,56,16,941-758-6499,3612 Cortez Rd W,Bradenton,FL,Shell,SHELLBR,Sold to:12317896 Ship to:10008576,Kathy Staats,NULL,cresysmgt@gmail.com,61.4,D,Y,cresysmgt@gmail.com
2211026,3,56,16,941-748-2068,3401 Manatee Ave W,Bradenton,FL,Shell,SHELLBR,Sold to:12317896 Ship to:10008567,Kathy Staats,NULL,begleyinc@verizon.net,52.9,D,Y,begleyinc@verizon.net
2211027,3,56,16,941-792-0412,5818 Manatee Ave W,Bradenton,FL,Shell,UNKNOWN,Sold to:12317896 Ship to:10008568,Kathy Staats,NULL,begleyinc@verizon.net,54.3,D,Y,begleyinc@verizon.net
2211028,3,56,16,941-756-1276,5303 14Th St W,Bradenton,FL,Shell,NULL,Sold to:12317896 Ship to:10008570,Kathy Staats,NULL,attarik@aol.com,53.5,D,Y,arshan1010@gmail.com
2211031,3,46,16,239-353-9090,3825 Tollgate Blvd,Naples,FL,Shell,#N/A,Sold to:12317896 Ship to:10008729,Kathy Staats,NULL,tollgateshell@hotmail.com,98.9,D,Y,tollgateshell@hotmail.com
2211034,3,56,16,813-870-1330,4800 N Dale Mabry Hwy,Tampa,FL,Shell,SHELLBR,Sold to:12317896 Ship to:10000763,Kathy Staats,NULL,bharat@verizon.net,10.8,D,Y,bharat@verizon.net
